0: hand
41: BAG_KONJAC_JELLY_APPLE_150G
42: BAG_PANGMANI_HAMCHEESE_SANDWICH_75G
43: BOTTLE_MARTINELY_GOLD_MEDAL_APPLE_JUICE_296ML
44: BOTTLE_KWANGDONG_CORN_SILK_TEA_500ML
45: BOX_ORION_YEGAM_CHEESE_70G
46: BAG_ORION_POCA_CHIP_66G
47: BAG_NULDAM_TTONGNANGSI_50G
48: BOTTLE_WOONGJIN_GREEN_PLUM_500ML
49: BAG_HAM_CHEESE_SANDWICH_75G
50: BOTTLE_DONGA_ORANC_PINEAPPLE_500ML
51: BOTTLE_SPARKLE_500ML
52: BAG_SAMYANG_BULDALG_BOKKEUMMYEON_140G
53: BOTTLE_WOONGJIN_CORN_SILK_TEA_500ML
54: BOTTLE_LOTTE_TREVI_LEMON_500ML
55: BAG_BEEF_GRILLED_BULGOGI_BURRITO_120G
56: BOTTLE_KWANGDONG_ORIENTAL_RAISON_TEA_500ML
57: BAG_HAITAI_JAGABEE_45G
58: BOTTLE_KWANGDONG_SAMDASOO_500ML
59: BOX_LOTTE_ALMOND_CHOCO_BALL_46G
60: BOTTLE_LABNOSH_PROTEIN_DRINK_MILD_BANANA_350ML
61: BOTTLE_LABNOSH_PROTEIN_DRINK_MILD_CACAO_350ML
62: BAG_HANMAC_SPICY_CHICKEN_HAMBURGER_190G
63: BOTTLE_TINYPING_WATER_330ML
64: BAG_COOZROCK_JUICY_RIB_DUMPLING_168G
65: BOX_LOTTE_WORLDCON_160ML
66: BOTTLE_HY_COLDBREW_AMERICANO_270ML_V3
67: BOX_ITSON_ROASTED_EGGS_70G
68: BOTTLE_COCA_COLA_500ML
69: BOTTLE_HAITAI_FRUITVILLAGE_MORNING_APPLE_500ML
70: BAG_NONGSHIM_POSTIC_84G
71: CAN_LOTTE_CANTATA_PREMIUM_LATTE_275ML
72: BOTTLE_HY_STRESS_CARE_125ML
73: ALCOHOL_KELLY_355ML
74: BAG_BINGGRAE_KKOCHGELANG_75G
75: BOTTLE_LOTTE_PEPSI_ZERO_SUGAR_LIME_500ML
76: BOX_ORION_DIGET_SSIN_84G
77: BOTTLE_SPARKLING_YAKULT_400ML
78: BOTTLE_DONGSEO_STARBUCKS_FRAPPUCCINO_MOCHA_281ML
79: BOTTLE_NUTELLA_GO_52G
80: BAG_JOYFOOD_S_CHOCOLATECREAM_CASTELLA_105G
81: BOTTLE_DONGWON_BOSEONG_BLACKTEA_ICEDTEA_LEMON_ZERO_500ML
82: BAG_BIBIGO_CHEONGYANG_MEAT_DUMPLINGS_200G
83: BOTTLE_HY_HALUYACHE_ORIGINAL_200ML_V2
84: CAN_RINGT_ZERO_PEACH_CAN_240ML
85: CAN_DONGSEO_STARBUCKS_DOUBLESHOT_ESPRESSOCREAM_200ML
86: CAN_LOTTE_HOT6_THE_KING_FORCE_355ML
87: BOX_VEGEMIL_HIGH_PROTEIN_SOYMILK_BLACK_BEAN_190ML
88: BOTTLE_PALDO_PORORO_MILK_235ML
89: BAG_BIBIGO_KIMCHI_DUMPLING_200G
90: BAG_NONGSHIM_SAEUKKANG_90G
91: ALCOHOL_STELLA_ARTOIS_330ML
92: BOX_DONGSUH_OREO_100G
93: BAG_MISUNG_HERSHEY_CHOCOLATE_CHIP_SINGLE_COOKIE_50G
94: BAG_GOURMET_SOBABA_CHICKEN_SOI_HONEY_LEGS_180G
95: BOTTLE_HY_HALUYACHE_PURPLE_200ML_V2
96: BAG_JAYEONLU_MOIST_SWEET_CHESTNUT_80G
97: CUP_CJ_HATBAN_CUPBAN_SEAWEED_SOUP_167G
98: BOX_CJ_HATBAN_PROTEIN21_250ML
99: BOTTLE_CJ_PROTEIN_SHAKE_NUTS_50G
100: CUP_CJ_HATBAN_CUPBAN_CHICKEN_MAYO_313G
101: STICK_MAXBONG_CHARCOAL_GRILLED_HOT_BAR_90G
102: STICK_DAERIM_STICK_CLAVIA_60G
103: CUP_HATBAN_BEEF_PORRIDGE_268G
104: STICK_CJ_PROTEIN_BAR_CHOCO_ARGININE_50G
105: BAG_CJ_CHICKEN_BREAST_STEAK_100G
106: BAG_SAJO_PIZZA_COMBINATION_80G
107: BOX_MAEIL_MILK_200ML
108: BOX_CJ_ALTIVE_CHOCO_120ML
109: BAG_DALGWANG_DONUT_CHOCO_45G
110: BOX_SEYANG_BAKED_EGGS_70G
111: BOTTLE_GUANGDONG_VITA500_ZERO_100ML
112: BOTTLE_PULMUONE_SPRING_WATER_500ML
113: STICK_INNON_CONDITION_STICK_18G
114: BOX_LOTTE_PEPERO_ORIGINAL_46G
115: BOX_LOTTE_PEPERO_ALMOND_37G
116: BOX_ORION_CHOCO_SONGI_50G
117: BOX_HAITAI_JAGABI_90G
118: CUP_NONGSHIM_YUKGAEJANG_86G
119: BOTTLE_FANTA_ORANGE_600ML
120: CUP_BIBIGO_TTEOKBOKKI_110G
121: BOX_DETROIT_PIZZA_PEPPERONI_125G
122: BOX_DETROIT_PIZZA_BARBEQUE_125G
123: BAG_BULGOGI_RICE_230G
124: BAG_GAMBAS_RICE_230G
125: CUP_BIBIGO_SPICY_TTEOKBOKKI_110G
126: BAG_MEXICO_RICE_230G
127: BOX_TJ_BLP_COP_SALAD_264G
128: BOX_TJ_HAM_CHEESE_PASTRY_219G
129: BOX_TJ_HAM_CHEESE_EGG_SANDWICH_250G
130: BOX_TJ_HAM_POTATO_SANDWICH_330G
131: BOX_TJ_SHRIMP_EGG_SALAD_240G
132: BOX_TJ_RED_TACO_CHICKEN_SANDWICH_249G
